player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Zylan Cheatham,cheatzy01,2022,RS,UTA,11,5,-26.60339220828042,-3.620371898640582,-30.223764106921,-57.14328236610267,-13.14930034975789,-70.29258271586056,-34.63013258305067,-5.798132831934739,-40.4282654149854,-.0966594811398413,-.0966594811398413,0,-21.88177618001855,-6.672407492302046,-28.55418367232059,.5641459801124332
Chris Chiozza,chiozch01,2022,RS,GSW,754,372,-4.050334490545362,-1.250494262788528,-5.30082875333389,-5.592953904085658,-2.068046052518794,-7.660999956604451,-4.623667011368201,-1.572754208932217,-6.196421220300417,-.6518545482669064,-.6518545482669064,0,-3.631464982281762,-.7641051411646153,-4.395570123446378,-.3450427567303556
Josh Christopher,chrisjo01,2022,RS,HOU,2851,1334,-1.379694546612482,-2.472930257171533,-3.852624803784015,-1.042865540763107,-3.361391766433189,-4.404257307196296,-1.327747417471851,-2.725639219288365,-4.053386636760216,-.8907580582634509,-.8907580582634509,0,-1.72231975053816,-3.126636563997174,-4.848956314535334,.4130741758907671
Marquese Chriss,chrisma01,2022,PO,DAL,68,30,.1397659406478594,-10.49235540181155,-10.35258946116369,-6.359721717112516,-7.416465887334259,-13.77618760444678,-1.283863364269625,-10.52985533474097,-11.81371869901059,-.142947971463019,0,-.142947971463019,-1.041361707758326,-12.98853204302688,-14.0298937507852,-.0896746095109602
Marquese Chriss,chrisma01,2022,RS,DAL,720,346,-3.802009505882795,-2.859050074258156,-6.661059580140952,-3.238270127576526,.5491025482283218,-2.689167579348204,-3.943157691992486,-2.382688159937947,-6.325845851930433,-.6333465670751768,-.6333465670751768,0,-3.869203063123463,-1.357396368313898,-5.226599431437361,.3335365180893409
Brandon Clarke,clarkbr01,2022,PO,MEM,646,296,1.619300561981451,3.561628619414185,5.180929181395636,-5.509774333925689,1.711564574405585,-3.798209759520105,.2115470576487354,3.318858754238167,3.530405811886902,.9842428996222482,0,.9842428996222482,-1.405205502064969,2.434990361412797,1.029784859347828,.600376034978644
Brandon Clarke,clarkbr01,2022,RS,MEM,2716,1246,1.711539095280785,.8254339482996775,2.536973043580463,.7862329049780226,3.10064737082346,3.886880275801483,1.580424364005175,1.304140881228411,2.884565245233585,3.584241247930866,3.584241247930866,0,1.39740987127699,.9449023104653851,2.342312181742376,.0641090098467201
Gary Clark,clarkga01,2022,RS,NOP,797,378,-.2874328108472349,-.8573093890331829,-1.144742199880418,-.7008835978386848,.9892344259517102,.2883508281130254,-.3971735765202988,-.5138917388549084,-.9110653153752072,.3534903896141672,.3534903896141672,0,-.3445812334300166,-2.027319335164921,-2.371900568594937,-.3266599051276741
Jordan Clarkson,clarkjo01,2022,PO,UTA,327,170,6.79164542987492,-2.65596040771407,4.135685022160851,8.319519893950993,-.799615618481585,7.519904275469408,7.506598231168559,-2.414864719681296,5.091733511487263,.6998429116835981,0,.6998429116835981,2.981906953620637,-2.601173616222173,.3807333373984645,-.2262610550253153
Jordan Clarkson,clarkjo01,2022,RS,UTA,4384,2141,2.536786896625073,-.8481972128633799,1.688589683761693,1.781457764517336,2.464765415654271,4.246223180171608,2.444757562935726,-.2432709006256518,2.201486662310074,5.38033051217298,5.38033051217298,0,2.740244944395934,-.236269586920301,2.503975357475634,-.5244946195004875
